Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forage),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha)
2040,823018.0,99561.86803688228,6316420389.968637,200326342656.2375,1400994930.597383,10616.591412342026,37750.57439952948,288.26283838772434,6737.978860096069,1121.0000109772843,731.7005394671999,1347.709066741774,1009.711765752369,12440.968080319228,23238.270637859398,4279.100425409743,397349.1555600994,44488.55325962555
2041,828332.0,100204.71153088607,6337254653.038162,200844425739.9193,1404901683.0406468,10685.139811970206,37994.31943591885,290.1240719490709,6781.484129315637,1128.2379985526877,736.4249278362619,1356.4108520984319,1016.2311958537862,12521.295976402684,23388.31373554327,4306.729395445183,397349.1555600993,44775.803565234484
2042,833640.0,100846.82919482511,6358084376.355738,201362414655.11694,1408807213.314966,10753.610814082811,38237.789261503116,291.9832040047028,6824.94027704192,1135.4678137672606,741.1439819316669,1365.1028123304864,1022.7432649125595,12601.533174824026,23538.18742062155,4334.327169805009,397349.1555600993,45062.729538545034
2043,838955.0,101489.79366050632,6378957232.389922,201881491617.17053,1412720525.1495667,10822.172113296918,38481.580166359985,293.84478781700193,6868.453733177035,1142.7071634028023,745.8692593463384,1373.806235207911,1029.2639218544173,12681.876187184505,23688.25875373969,4361.961339119717,397349.1555600994,45350.03389953702
2044,844291.0,102135.29853141416,6399924650.101309,202402932091.78094,1416651329.8820043,10891.004303815545,38726.33430903475,295.71372689930246,6912.13911453865,1149.9751163012502,750.61320671881,1382.5440460214465,1035.8103424455278,12762.5366413624,23838.92303097739,4389.704693299075,397349.1555600993,45638.4734235734
2045,849660.0,102784.795467678,6421030805.133488,202927831757.10577,1420607967.2516956,10960.262180669833,38972.602111137574,297.59422426303416,6956.094664113332,1157.288017184265,755.3864925963966,1391.3358950202976,1042.3972487711785,12843.69593268195,23990.519077545832,4417.619623694309,397349.1555600995,45928.69677525091
2046,855071.0,103439.37321439506,6442308929.059481,203457014952.93744,1424596708.8342438,11030.061840133154,39220.796388876166,299.4894321667689,7000.39406414101,1164.658124593092,760.1971183895832,1400.1965198913697,1049.0356823953352,12925.490107636335,24143.301012353404,4445.752923818842,397349.1555600994,46221.190453017174
2047,860540.0,104100.96731840457,6463818044.353616,203991945727.63245,1428628694.7111278,11100.609675580372,39471.651037730764,301.4049546257461,7045.168305270445,1172.107231489946,765.0593088281231,1409.1521209669363,1055.7452727650473,13008.16102665787,24297.72060234834,4474.187782140974,397349.1555600993,46516.81934300121
2048,866088.0,104772.11818493318,6485635666.701029,204534546903.37976,1432718554.4177608,11172.176578316003,39726.12929551929,303.3481469099672,7090.589312728136,1179.6639411377325,769.991733869816,1418.2370861831084,1062.5517835295677,13092.026131563973,24454.37079165021,4503.033383525359,397349.1555600994,46816.71860824743
2049,871726.0,105454.15650243283,6507802657.344646,205085832337.3736,1436873994.3471327,11244.904443785268,39984.73571538441,305.3228617799093,7136.747142585103,1187.3432361979742,775.004173016367,1427.4694282683242,1069.4687099337434,13177.251701401863,24613.56217003592,4532.346920043953,397349.1555600994,47121.48285796952
2050,877459.0,106147.68712929086,6530337864.48315,205646269980.95477,1441098563.5835562,11318.857769917817,40247.69963966371,307.33085049033457,7183.682729419086,1195.1519269713626,780.1010714958237,1436.8573348264194,1076.5021861797775,13263.913317556637,24775.4359146768,4562.154388093101,397349.1555600993,47431.3823690828
